
2024/12/29 (00:39:56) | ===> btop++ v.1.4.0
2024/12/29 (00:39:56) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/29 (00:41:24) | INFO: Logger set to INFO
2024/12/29 (00:41:25) | INFO: Logger set to DEBUG
2024/12/29 (00:41:28) | INFO: Logger set to INFO
2024/12/29 (00:41:28) | INFO: Logger set to DEBUG
2024/12/29 (00:41:29) | INFO: Logger set to INFO
2024/12/29 (00:41:30) | INFO: Logger set to DEBUG
2024/12/29 (00:41:32) | INFO: Logger set to INFO
2024/12/29 (00:41:32) | INFO: Logger set to DEBUG
2024/12/29 (00:41:33) | INFO: Logger set to DEBUG
2024/12/29 (00:41:33) | INFO: Logger set to INFO
2024/12/29 (00:41:55) | INFO: Quitting! Runtime: 00:01:59

2024/12/29 (00:41:57) | ===> btop++ v.1.4.0
2024/12/29 (00:41:57) | INFO: Logger set to INFO
2024/12/29 (00:41:57) | INFO: Running on /dev/pts/0
2024/12/29 (00:41:57) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/29 (00:41:57) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/29 (00:41:57) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/29 (00:45:02) | INFO: Quitting! Runtime: 00:03:05

2024/12/29 (00:52:00) | ===> btop++ v.1.4.0
2024/12/29 (00:52:00) | INFO: Logger set to INFO
2024/12/29 (00:52:00) | INFO: Running on /dev/pts/0
2024/12/29 (00:52:00) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/29 (00:52:00) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/29 (00:52:00) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/29 (00:55:01) | INFO: Quitting! Runtime: 00:03:01

2024/12/31 (22:02:07) | ===> btop++ v.1.4.0
2024/12/31 (22:02:07) | INFO: Logger set to INFO
2024/12/31 (22:02:07) | INFO: Running on /dev/pts/0
2024/12/31 (22:02:07) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/31 (22:02:07) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/31 (22:02:07) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/31 (22:02:24) | INFO: Quitting! Runtime: 00:00:17
